deviceId,TimeStamp,AcceleratorPositionD,AcceleratorPositionE,BarometricPressure,Battery,CommandedEGR,ControlModuleVoltage,CoolantTemperature,DistanceSinceDTCClear,DistanceWithMIL,DTC,EngineLoad,EngineSpeed,FuelRailPressureDirect,IntakeTemp,MAF,MAP,PidsA,PidsB,PidsC,Speed,Status.DTCCount,Status.MIL,VehicleIdentification.VIN
RQHVTJF00006025,2020-09-01T14:22:14.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",54,1349,61000,43,13,94,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:17.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",40,1662,88400,45,17,98,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:20.000Z,14,7,90,13.73099995,29,14,85,0,0,"\\""""",45,1295,42200,45,12,91,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:23.000Z,14,7,90,13.73099995,19,14,85,0,0,"\\""""",9,1292,36800,45,9,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:26.000Z,14,7,90,13.73099995,19,14,84,0,0,"\\""""",34,1277,48000,45,12,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:29.000Z,14,7,90,13.73099995,34,14,84,0,0,"\\""""",27,1357,42600,42,12,92,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:32.000Z,14,7,90,13.73099995,19,14,84,0,0,"\\""""",40,1403,61000,42,13,94,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:35.000Z,14,7,90,13.73099995,27,14,84,0,0,"\\""""",24,753,30800,42,6,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:38.000Z,14,7,90,13.73099995,43,14,84,0,0,"\\""""",25,757,29600,42,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:41.000Z,14,7,90,13.73099995,38,14,84,0,0,"\\""""",25,757,28800,40,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:44.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",23,765,39800,40,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:47.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",60,1556,84000,40,16,99,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:50.000Z,14,7,90,13.73099995,19,14,84,0,0,"\\""""",49,1965,40400,40,17,113,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:53.000Z,14,7,90,13.73099995,36,14,84,0,0,"\\""""",24,753,28400,39,6,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:22:56.000Z,14,7,90,13.73099995,41,14,84,0,0,"\\""""",24,762,28200,39,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
